NOMREG;NOMDEP;ANNEXE;NOM DU MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES
ALSACE;BAS-RHIN;;MusÇe de la Folie Marco;30, Rue du Dr Sultzer;67140;BARR;0388089472;0388086651;www.musee-foliemarco.com;Novembre Ö avril;Ouvert de mai Ö septembre du mercredi au lundi de 10h Ö 12h et de 14h Ö 18h, en octobre les samedis et dimanches de 10h Ö 12h et de 14h Ö 18h.;
ALSACE;BAS-RHIN;;MusÇe de la Poterie;2, rue de Kuhlendorf;67660;BETSCHDORF;0388544807;0388544807;www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php;Novembre Ö mi-avril;Ouvert du mardi au samedi de 10h Ö 12h et de 13h Ö 18h, dimanche de 14h Ö 18h (ouvert du 21 avril au 29 septembre en 2013);
ALSACE;BAS-RHIN;;MusÇe du Pays de Hanau - Histoire et Vies d?un Territoire;"3, Place du ChÉteau
Halle aux BlÇs";67330;BOUXWILLER;0388003839;0388713034;www.museedupaysdehanau.eu;Janvier - 24, 25 et 31 dÇcembre, le 1er janvier et le dimanche de PÉques;Ouvert du 1er juillet au 15 septembre du mercredi au vendredi de 10h Ö 12h30 et de 14h Ö 18h, samedi, dimanche et jours fÇriÇs de 14h Ö 18h et du 16 septembre au 30 juin du mercredi au dimanche de 14h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe Alsacien;1, place Joseph Thierry;67500;HAGUENAU;0388733041;0388934812;http://www.ville-haguenau.fr/musee-alsacien;1er janvier, dimanche de PÉques, 1er mai, 1er novembre, 25 dÇcembre;Ouvert du lundi au vendredi de 9h Ö 12h et de 14h Ö 17h, samedi-dimanche de 14h Ö 17h;
ALSACE;BAS-RHIN;;MusÇe Historique;9, Rue du MarÇchal Foch;67504;HAGUENAU;0388937922;0388934812;http://www.ville-haguenau.fr/musee-historique;1er janvier, dimanche de PÉques, 1er mai, 1er novembre, 25 dÇcembre;Ouvert lundi de 14h Ö 18h, mercredi au vendredi de 10h Ö 12h et de 14h Ö 18h, samedi-dimanche et jours fÇriÇs de 14h Ö 18h, juillet-aoñt  de 10h Ö 12h et de 14h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe de la Chartreuse;4, Cour des Chartreux;67120;MOLSHEIM;0388495938;0388478185;www.chartreuse-molsheim.info;;Ouvert du 2 mai au 14 juin de 14h Ö 17h et du 15 juin au 14 septembre de 10h Ö 12h et de 14h Ö Ö 18h du mercredi au lundi, du 15 septembre au 15 octobre de 14h Ö 17h du mercredi au lundi;
ALSACE;BAS-RHIN;;Maison de l'ArchÇologie des Vosges du Nord;44, Avenue Foch;67110;NIEDERBRONN-LES-BAINS;0388803637;0388097152;www.musee-niederbronn.fr;;Ouvert du 1er mars au 31 octobre dimanche et lundi et du mercredi au vendredi de 14h Ö 18h et du 1er novembre au 28 fÇvrier de 14h Ö 17h le dimanche. Ouvert sur rendez-vous pour les groupes et les scolaires;
ALSACE;BAS-RHIN;;MusÇe de l'Image Populaire de Pfaffenhoffen;24, rue du Docteur Albert Schweitzer;67350;PFAFFENHOFFEN;0388078005;0388078009;http://webmuseo.com/ws/musee-image-populaire;4 semaines de fermeture annuelle apräs le 8 janvier. 1er janvier, vendredi Saint, 1er mai, 1er novembre, les 24 et 25 dÇcembre;Ouvert du mercredi au dimanche du 2 mai au 30 septembre de 14h Ö 18h et du 1er octobre au 30 avril de 14h Ö 17h;
ALSACE;BAS-RHIN;;MusÇe du Fer;9, rue Jeanne d'Arc;67110;REICHSHOFFEN;0388803449;0388090876;musee-reischshoffen.webmuseo.com ou www.lacastine.com;;Ouvert du mercredi au dimanche de 14h Ö 18h de mai Ö octobre, le reste de l'annÇe sur rendez-vous pour les groupes;
ALSACE;BAS-RHIN;;MusÇe du ChÉteau des Rohan;"ChÉteau des Rohans
Place du GÇnÇral de Gaulle";67700;SAVERNE;0388716395;;http://www.louise weiss.org;1er janvier, vendredi saint, 1er mai, 1er novembre, 24 et 25 dÇcembre;Ouvert du 2 janvier au 14 juin et du 16 septembre au 30 dÇcembre du mercredi au lundi de 14h Ö 18h le samedi et dimanche et jours fÇriÇs 10h Ö 12h et 14h Ö 18h et du 15 juin au 15 septembre du mercredi au lundi de 10h Ö 12h et de 14h Ö 18h;
