id_musée;NOM DU MUSEE;ADR;CP;VILLE;TELEPHONE;SITWEB;PERIODE OUVERTURE
1;Musée de la Folie Marco;30, Rue du Dr Sultzer;67140;BARR;0388089472;www.musee-foliemarco.com;Ouvert de mai à septembre du mercredi au lundi de 10h à 12h et de 14h à 18h, en octobre les samedis et dimanches de 10h à 12h et de 14h à 18h.
2;Musée de la Poterie;2, rue de Kuhlendorf;67660;BETSCHDORF;0388544807;www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php;Ouvert du mardi au samedi de 10h à 12h et de 13h à 18h, dimanche de 14h à 18h (ouvert du 21 avril au 29 septembre en 2013)
3;Musée du Pays de Hanau - Histoire et Vies d’un Territoire;"3, Place du Château
Halle aux Blés";67330;BOUXWILLER;0388003839;www.museedupaysdehanau.eu;Ouvert du 1er juillet au 15 septembre du mercredi au vendredi de 10h à 12h30 et de 14h à 18h, samedi, dimanche et jours fériés de 14h à 18h et du 16 septembre au 30 juin du mercredi au dimanche de 14h à 18h
4;Musée Alsacien;1, place Joseph Thierry;67500;HAGUENAU;0388733041;http://www.ville-haguenau.fr/musee-alsacien;Ouvert du lundi au vendredi de 9h à 12h et de 14h à 17h, samedi-dimanche de 14h à 17h
5;Musée Historique;9, Rue du Maréchal Foch;67504;HAGUENAU;0388937922;http://www.ville-haguenau.fr/musee-historique;Ouvert lundi de 14h à 18h, mercredi au vendredi de 10h à 12h et de 14h à 18h, samedi-dimanche et jours fériés de 14h à 18h, juillet-août  de 10h à 12h et de 14h à 18h
6;Musée de la Chartreuse;4, Cour des Chartreux;67120;MOLSHEIM;0388495938;www.chartreuse-molsheim.info;Ouvert du 2 mai au 14 juin de 14h à 17h et du 15 juin au 14 septembre de 10h à 12h et de 14h à à 18h du mercredi au lundi, du 15 septembre au 15 octobre de 14h à 17h du mercredi au lundi
7;Maison de l'Archéologie des Vosges du Nord;44, Avenue Foch;67110;NIEDERBRONN-LES-BAINS;0388803637;www.musee-niederbronn.fr;Ouvert du 1er mars au 31 octobre dimanche et lundi et du mercredi au vendredi de 14h à 18h et du 1er novembre au 28 février de 14h à 17h le dimanche. Ouvert sur rendez-vous pour les groupes et les scolaires
8;Musée de l'Image Populaire de Pfaffenhoffen;24, rue du Docteur Albert Schweitzer;67350;PFAFFENHOFFEN;0388078005;http://webmuseo.com/ws/musee-image-populaire;Ouvert du mercredi au dimanche du 2 mai au 30 septembre de 14h à 18h et du 1er octobre au 30 avril de 14h à 17h
9;Musée du Fer;9, rue Jeanne d'Arc;67110;REICHSHOFFEN;0388803449;musee-reischshoffen.webmuseo.com ou www.lacastine.com;Ouvert du mercredi au dimanche de 14h à 18h de mai à octobre, le reste de l'année sur rendez-vous pour les groupes
10;Musée du Château des Rohan;"Château des Rohans
Place du Général de Gaulle";67700;SAVERNE;0388716395;http://www.louise weiss.org;Ouvert du 2 janvier au 14 juin et du 16 septembre au 30 décembre du mercredi au lundi de 14h à 18h le samedi et dimanche et jours fériés 10h à 12h et 14h à 18h et du 15 juin au 15 septembre du mercredi au lundi de 10h à 12h et de 14h à 18h
11;Musée d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;STRASBOURG;0388233131;www.musees-strasbourg.eu;Ouvert du mardi au dimanche de 10h à 18h
12;Musée des Arts Décoratifs;"Palais Rohan
2, Place du Château";67000;STRASBOURG;0388525000;www.musees-strasbourg.eu;Ouvert le lundi et du mercredi au dimanche de 10h à 18h
13;Musée Archéologique;"Palais Rohan
2, Place du Château";67000;STRASBOURG;0388525000;www.musees.strasbourg.eu;Ouvert le lundi et du mercredi au dimanche de 10h à 18h
14;Musée des Beaux-Arts;"Palais Rohan
2, Place du Château";67000;STRASBOURG;0388525000;www.musees.strasbourg.eu;Ouvert le lundi et du mercredi au dimanche de 10h à 18h
15;Musée de l'Œuvre Notre-Dame;3, Place du Château;67000;STRASBOURG;0388525000;www.musees-strasbourg.eu;Ouvert du mardi au  dimanche de 10h à 18h
16;Musée Historique;2, Rue du Vieux Marché aux Poissons;67000;STRASBOURG;0388525000;www.musees-strasbourg.eu;Ouvert du mardi au dimanche de 10h à 18h
17;Musée Alsacien;23-25, Quai Saint-Nicolas;67000;STRASBOURG;0388525001;www.musees-strasbourg.eu;Ouvert lundi, mercredi au dimanche de 10h à 18h
18;Cabinet des Estampes et des Dessins;5, Place du Château;67000;STRASBOURG;0388525000;www.musees-strasbourg.eu;Ouvert du lundi au vendredi de 9h à 17h
19;Musée Tomi Ungerer;"Villa Greiner
2, avenue de la Marseillaise";67000;STRASBOURG;0369063727;www.musees-strasbourg.eu;Ouvert le lundi, mercredi au dimanche de 10h à 18h
20;Musée Zoologique de l'Université Louis Pasteur et de la Ville de Strasbourg;29, Boulevard de la Victoire;67000;STRASBOURG;0390240485;www.musees.strasbourg.eu;Ouvert lundi, mercredi au dimanche de 10h à 18h
21;Musée J.F. Oberlin;25, Montée Oberlin;67130;WALDERSBACH;0388973027;www.musee-oberlin.com;Ouvert du 1er avril au 30 septembre de 10h à 19h et du 1er octobre au 31 mars de 14h à 18h (matin sur rdv)
22;Musée Lalique;40 rue du Hochberg;67290;WINGEN-SUR-MODER;0388890814;www.musee-lalique.com;Ouvert d'avril à septembre tous les jours de 10h à 19h, en février, mars, octobre et novembre de 10h à 18h, en décembre de 10h à 19h et fermeture à 16h les 24 et 31 décembre
23;Musée Westercamp;3, rue du Musée;67160;WISSEMBOURG;0388059663;www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu;
24;Musée de la Bataille du 6 Août 1870;2, Rue du Moulin;67360;WOERTH;0388094096;www.woerth-en-alsace.com;Ouvert d'avril à septembre mercredi, jeudi, samedi, dimanchede 14h à 18h
25;Musée Sundgauvien d'Altkirch;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;0389400194;;Ouvert de septembre à juin le dimanche de 14h30 à 17h30, juillet-août du mardi au dimanche de 14h30 à 17h30. Lors des expositions temporaires du mardi au dimanche de 14h30 à 17h30
26;Musée Gallo-Romain;Place de la Mairie;68600;BIESHEIM;0389720158;www.ville-biesheim.fr/museegr.html;Ouvert le mercredi et vendredi de 14h à 17h30, le jeudi de 9h à 12h et de 14h à 17h30, le samedi et dimanche de 14h à 17h
27;Musée de la Porte de Thann;1, Rue de Thann;68700;CERNAY;0389758880;www.musee-cernay.org;"Ouvert de début mai au 2 octobre 2011 les vendredis, samedis de 14h à 17h, les dimanches de 14h à 18h
Sur rendez-vous toute l'année pour les groupes de 10 personnes et plus"
28;Musée d'Histoire Naturelle et d'Ethnographie de Colmar;11, Rue Turenne;68000;COLMAR;0389238415;www.museumcolmar.org;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 17h, le dimanche de 14h à 18h
29;Musée Bartholdi;30, Rue des Marchands;68000;COLMAR;0389419060;www.musee-bartholdi.com ou www.colmar.fr ou www.culture.fr;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h du 1er mars au 31 décembre
30;Musée d'Unterlinden;1, rue Unterlinden;68000;COLMAR;0389201550;www.musee-unterlinden.com;Ouvert de mai à octobre tous les jours de 9h à 18h, de novembre à avril du mercredi au lundi  de 9h à 12h et de 14h à  17h du 8 au 31 décembre tous les jours de 9h à 18h
31;Musée Théodore Deck et des Pays du Florival;1, Rue du Quatre Février;68500;GUEBWILLER;0389742289;www.ville-guebwiller.fr/musee-deck/;Ouvert le lundi et du mercredi au vendredi de 14h à 18h, les week-ends et jours féris de 10h à 12h et de 14h à 18h
32;Musée Historique et Militaire de Huningue;6, rue des Boulangers;68330;HUNINGE;0389893394;http://www.ville-huningue.fr/fr/musee-historique-et-militaire;Ouvert le premier et troisième dimanche du mois de 14h30 à 17h30
33;Musée d'Histoire Local;64, avenue du Général de Gaulle;68240;KAYSERSBERG;0389781111;www.ville-kaysersberg.fr;Ouvert en juillet-août de 10h à 12h et de 14h à 18h
34;Musée du Vignoble et des Vins d'Alsace;Château de la Confrérie St-Etienne;68240;KIENTZHEIM;0389782136;www.musee-du-vignoble-alsace.fr;Ouvert du 1er juin au 31 octobre de 10h à 12h et de 14h à 18h, en mai les week-end et jours de fériés
35;Musée Historique;4, Rue des Archives;68100;MULHOUSE;0389337810;www.musees-mulhouse.fr/musee-historique/collections.html;Ouvert du mercredi au lundi de 13h à 18h30
36;Cité du Train;2, rue Alfred de Glehn;68200;MULHOUSE;0389428333;www.citedutrain.com;Ouvert tous les jours du 1er janvier au 11 avril  de 10h à 17h, du 12 avril au 11 novembre de 10h à 18h et du 12 novembre au 31 décembre de 10h à 17h
37;Musée des Beaux-Arts;4, Place Guillaume-Tell;68100;MULHOUSE;0389337811;http://www.musees.mulhouse.museum/dn_beaux_arts/;Ouvert du mercredi au lundi de 13h à 18h30 - 19h en décembre et du 1er juillet au 31 août de 10h à 12 h et de 13h à 18h30
38;Musée Minéralogique de la Société Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;MULHOUSE Cedex;0389336888;;
39;Musée National de l'Automobile - Collection Schlumpf;"192, Avenue de Colmar
CS 91096";68051;MULHOUSE Cedex;0389332323;www.collection-schlumpf.com - http://www.citedelautomobile.com/;Ouvert du 1er au 4 janvier de 10h à 17h du 5 janvier au 5 février de 14h à 17h le week-end de 10h à 17h, du 6 février au 2 avril de 10h à 17h, du 3 avril au 29 octobre de 10h à 17h, du 30 octobre au 31 décembre de 10h à 17h
40;Musée de l'Impression sur Etoffes;"14, rue Jean-Jacques Henner
B.P. 1468";68072;MULHOUSE CEDEX;0389468300;www.musee-impression.com;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h. Ouverture exceptionnelle le 26 décembre de 15h à 18h ainsi que tous les lundi du mois de décembre de 14h à 18h
41;Musée EDF Electropolis;"55, rue du Pâturage
B.P. 52463";68057;MULHOUSE Cedex;0389324850;electropolis.edf.com;Ouvert du mardi au dimanche de 10h à 18h
42;Musée Vauban;7, Place de la Porte de Belfort;68600;NEUF-BRISACH;0389720393;www.neuf-brisach.fr;Ouvert du mercredi au lundi du 1er mai au 30 septembre de 10h à 12h et de 14h à 17h
43;Maison du Sundgau - Musée Paysan;10, rue Principale;68480;OLTINGUE;0389407924;http://musee.paysan.free.fr/;Ouvert du 1er mars au 15 juin, du 1er octobre au 15 décembre le dimanche de 14h à 17h, du 16 juin au 30 septembre mardi, jeudi, samedi, dimanche de 15h à 18h, et du 1er mars au 30 novembre sur rendez-vous pour les groupes
44;Musée du Dolder;57, Rue du Général de Gaulle;68340;RIQUEWIHR;0389479215;www.musee-riquewihr.fr/;Ouvert tous les jours du 8  juillet au 19 août  de 14h à 18h, du 6 avril au 8 juillet et du 20 août au 4 novembre les week-ends et jours fériés de 14h à 18h
45;Musée du Papier Peint;"La Commanderie  28, rue Zuber
B.P. 41";68171;RIXHEIM Cedex;0389642456;www.museepapierpeint.org;Ouvert tous les jours de 10h à 12h et de 14h à 18h du 2 mai au 31 octobre et de novembre à avril du mercredi au lundi
46;Musée des Amis de Thann;24, Rue Saint Thiébaut;68800;THANN;0389385325;www.ville-thann.fr - http://www.genealogiethaznn.org;Ouvert en juin et septembre vendredi-samedi-dimanche, en juillet-août du mardi au dimanche de 14h à 18h
47;Ecomusée d'Alsace;B.P. 71;68190;UNGERSHEIM;0389744474;www.ecomusee-alsace.com;Ouvert de fin  mars au 1er novembre de 10h à 18h, en de mars à  juin et de septembre à décembre, du 1er au 11 juillet et du 19 août au 1er septembre de 10h à 18h et du 12 juillet au 18 août  de 10h à 21h
48;Musée du Sapeur Pompier;12-14 rue de Luppach;68480;VIEUX FERRETTE;0389686818;www.musee-sapeur-pompier.fr;Ouvert de 10h à 18h du mardi au dimanche et sur rendez-vous du 1er novembre au 31 mars
49;Musée d'Anthropologie du Tabac d'Intérêt National;"Maison Peyrarède
Place du Feu";24100;BERGERAC;0553630413;http://www.bergerac.fr/EspCulture/sitetabac/index.htm;Ouvert en basse saison du mardi au vendredi de 10h à 12h et de 14h à 18h, le samedi de 10h à 12h et d'avril à fin septembre le samedi de 14h à 18h et le dimanche de 14h30 à 18h30 & 1er juin au 30 septembre tous les jours de 10h à 13h et de 14h à 18h
50;Château de Bourdeilles;Bourdeilles;24310;BOURDEILLES;0553037336;Site des musées aquitains;Ouvert tous les jours en saison et hors saison du mercredi au lundi
51;Musée Fernand Desmoulin;Boulevard Charlemagne;24310;BRANTOME;0553058063;Site des musées aquitains ou http://www.perigord-dronne-belle.fr;Ouvert du mercredi au dimanche (février, mars, octobre à décembre) de 10h à 12h et de 14h à 17 et  d'avril à juin et septembre de 10h à 18h, et en juillet-août de 10h à 19h tous les jours
52;Musée-Aquarium;Site Bella-Riva;24100;CREYSSE;0553232045;;
53;Musée Paul Reclus;Place de la Halle;24250;DOMME;0553317100;;Ouvert tous les jours d'avril à juin et septembre de 10h30 à 12h30 et de 14h30 à 18h, en juillet-août de 10h30 à 19h
54;Musée National de la Préhistoire;B.P. 7;24620;LES EYZIES-DE-TAYAC;0553064545;www.musee-prehistoire-eyzies.fr;Ouvert d'octobre à mai du mercredi au lundi de 9h30 à 12h30 et de 14h à 17h30, en juin et en septembre du mercredi au lundi de 9h30 à 18h et en juillet et en août tous les jours de 9h30 à 18h30
